userId,movieId,rating,timestamp
1,10,4,964982703
1,20,5,964981247
1,30,3,964982224
2,10,2,964982931
2,40,4,964983815
2,50,5,964982400
3,20,3,964982931
3,30,4,964983815
3,60,2,964982400
4,70,5,964982703
4,80,3,964981247
4,90,4,964982224
5,100,5,964982931
5,110,2,964983815
5,120,4,964982400
6,130,3,964982703
6,140,5,964981247
6,150,4,964982224
7,160,2,964982931
7,170,5,964983815
7,180,3,964982400
8,190,4,964982703
8,200,5,964981247
8,210,2,964982224
9,220,3,964982931
9,230,4,964983815
9,240,5,964982400
10,250,2,964982703
10,260,3,964981247
10,270,4,964982224
11,280,5,964982931
11,290,2,964983815
11,300,3,964982400
12,310,4,964982703
12,320,5,964981247
12,330,2,964982224
13,340,3,964982931
13,350,4,964983815
13,360,5,964982400
14,370,2,964982703
14,380,3,964981247
14,390,4,964982224
15,400,5,964982931
15,410,2,964983815
15,420,3,964982400
16,430,4,964982703
16,440,5,964981247
16,450,2,964982224
17,460,3,964982931
17,470,4,964983815
17,480,5,964982400
18,490,2,964982703
18,500,3,964981247
18,510,4,964982224
19,520,5,964982931
19,530,2,964983815
19,540,3,964982400
20,550,4,964982703
20,560,5,964981247
20,570,2,964982224
21,580,3,964982931
21,590,4,964983815
21,600,5,964982400
22,610,2,964982703
22,620,3,964981247
22,630,4,964982224
23,640,5,964982931
23,650,2,964983815
23,660,3,964982400
24,670,4,964982703
24,680,5,964981247
24,690,2,964982224
25,700,3,964982931
25,710,4,964983815
25,720,5,964982400
